date,pnl,var_hist,es_hist,exc_hist,var_param,es_param,exc_param,var_mc,es_mc,exc_mc,var_ewma,es_ewma,exc_ewma,var_fhs,es_fhs,exc_fhs
2022-09-23 00:00:00+00:00,-79.87640775452448,104.86611786456147,144.09256466039628,0,104.76734826105303,132.3308204645802,0,104.85203516422212,132.27044444340132,0,121.07130210993715,151.8282972975662,0,120.45179161512074,160.30790260557146,0
2022-09-26 00:00:00+00:00,13.94533673535399,104.86611786456147,144.09256466039628,0,105.49501401059754,133.1443741253991,0,105.678344434817,133.06163762565643,0,121.71477213345138,152.63523466694775,0,127.31576264715686,168.5381404259695,0
2022-09-27 00:00:00+00:00,-10.259141285232957,104.86611786456147,144.09256466039628,0,105.49751758347762,133.08883285301383,0,105.59138118497127,133.02603436848347,0,118.14053416223078,148.15299605342426,0,127.9771463174409,169.28111952436873,0
2022-09-28 00:00:00+00:00,101.11706192485542,104.86611786456147,144.09256466039628,0,105.56426802499509,133.07935900745431,0,105.75392036580999,133.0026745592499,0,114.61605434400518,143.7331561711793,0,126.94513788585392,167.50078611442171,0
2022-09-29 00:00:00+00:00,100.25393411452016,104.86611786456147,144.09256466039628,0,105.66091180545,133.29851675208965,0,105.7676325598829,133.190903349014,0,118.35719390518533,148.4246961119224,0,122.0170818323341,161.49667051002558,0
2022-09-30 00:00:00+00:00,9.073674581299706,104.86611786456147,144.09256466039628,0,105.80635009833586,133.55663111303045,0,106.0170451618962,133.42707309170243,0,121.6531986686662,152.55801905801215,0,125.42046193141354,166.26373326149272,0
2022-10-03 00:00:00+00:00,12.845074135034116,104.86611786456147,144.09256466039628,0,105.86439676911539,133.5992778163202,0,106.07614761047971,133.46986355243018,0,118.00379557829893,147.98152035264752,0,128.78873598732628,170.78609683219463,0
2022-10-04 00:00:00+00:00,135.41002753227133,104.86611786456147,144.09256466039628,0,105.90745212232386,133.6137762621016,0,106.10287843892199,133.4835053217592,0,114.52591945779596,143.62012338750748,0,126.23905042464676,166.8108545756699,0
2022-10-05 00:00:00+00:00,-63.26138290018743,104.86611786456147,144.09256466039628,0,106.2865433148708,134.2105668994054,0,106.33554316926661,134.02437729155517,0,123.71631085375584,155.14524497147917,0,121.89864466359417,161.35001479327812,0
2022-10-06 00:00:00+00:00,-64.22856752674872,104.86611786456147,144.09256466039628,0,106.83546284795398,134.80979490125083,0,106.89220778291849,134.609623186174,0,122.6255991347916,153.77744847266501,0,131.6819599592398,174.29903283833832,0
