time,open,high,low,close,tick_volume,spread,real_volume
2021-10-07 00:00:00+00:00,1.1551,1.15554,1.15501,1.15528,793,20,0
2021-10-07 01:00:00+00:00,1.15528,1.15572,1.15528,1.15543,443,7,0
2021-10-07 02:00:00+00:00,1.15542,1.15552,1.15521,1.15548,466,7,0
2021-10-07 03:00:00+00:00,1.15548,1.15609,1.15543,1.15582,1570,7,0
2021-10-07 04:00:00+00:00,1.15581,1.15589,1.15511,1.15564,1422,7,0
2021-10-07 05:00:00+00:00,1.15564,1.1556899999999999,1.1553499999999999,1.15542,717,7,0
2021-10-07 06:00:00+00:00,1.15542,1.1555900000000001,1.15522,1.15552,723,7,0
2021-10-07 07:00:00+00:00,1.15552,1.1556899999999999,1.15537,1.15552,742,7,0
2021-10-07 08:00:00+00:00,1.15552,1.15567,1.15491,1.15491,1038,7,0
2021-10-07 09:00:00+00:00,1.15491,1.15694,1.15488,1.1568,2308,7,0
2021-10-07 10:00:00+00:00,1.1568,1.15703,1.15612,1.15684,2851,7,0
2021-10-07 11:00:00+00:00,1.15684,1.15692,1.15592,1.15599,2311,7,0
2021-10-07 12:00:00+00:00,1.15599,1.15619,1.15547,1.15602,2148,7,0
2021-10-07 13:00:00+00:00,1.15602,1.15623,1.15562,1.15606,1559,7,0
2021-10-07 14:00:00+00:00,1.15606,1.1571799999999999,1.15598,1.15647,2367,7,0
2021-10-07 15:00:00+00:00,1.15647,1.15647,1.15503,1.15557,2737,7,0
2021-10-07 16:00:00+00:00,1.15555,1.15633,1.15471,1.1556,3385,7,0
2021-10-07 17:00:00+00:00,1.15558,1.15684,1.15556,1.15605,3494,7,0
2021-10-07 18:00:00+00:00,1.15605,1.15684,1.15598,1.15598,2230,7,0
2021-10-07 19:00:00+00:00,1.15598,1.15602,1.15525,1.15552,1075,7,0
2021-10-07 20:00:00+00:00,1.15552,1.15644,1.15549,1.1559599999999999,1166,7,0
2021-10-07 21:00:00+00:00,1.1559599999999999,1.15599,1.15489,1.15511,1489,7,0
2021-10-07 22:00:00+00:00,1.15511,1.15543,1.15504,1.15537,1520,7,0
2021-10-07 23:00:00+00:00,1.15533,1.15552,1.15521,1.15523,882,7,0
2021-10-08 00:00:00+00:00,1.1553200000000001,1.15547,1.15483,1.15537,980,21,0
2021-10-08 01:00:00+00:00,1.15538,1.15567,1.15526,1.1554,447,7,0
2021-10-08 02:00:00+00:00,1.1554,1.1559599999999999,1.15538,1.15591,490,7,0
2021-10-08 03:00:00+00:00,1.15591,1.15595,1.15523,1.15581,1458,7,0
2021-10-08 04:00:00+00:00,1.15581,1.15587,1.1553499999999999,1.1555900000000001,1952,7,0
2021-10-08 05:00:00+00:00,1.1555900000000001,1.1556899999999999,1.15504,1.15545,888,7,0
2021-10-08 06:00:00+00:00,1.15545,1.15558,1.15494,1.15518,739,7,0
2021-10-08 07:00:00+00:00,1.15518,1.15538,1.15471,1.15479,1018,7,0
2021-10-08 08:00:00+00:00,1.15479,1.15526,1.15411,1.15418,1581,7,0
2021-10-08 09:00:00+00:00,1.15416,1.15484,1.15416,1.15455,1968,7,0
2021-10-08 10:00:00+00:00,1.15455,1.1551,1.15433,1.15476,2646,7,0
2021-10-08 11:00:00+00:00,1.15476,1.15561,1.15432,1.1553200000000001,1964,7,0
2021-10-08 12:00:00+00:00,1.1553200000000001,1.1569,1.15528,1.15671,1920,7,0
2021-10-08 13:00:00+00:00,1.15672,1.15677,1.15603,1.15627,1404,7,0
2021-10-08 14:00:00+00:00,1.15628,1.15629,1.15554,1.1562000000000001,1698,7,0
2021-10-08 15:00:00+00:00,1.1562000000000001,1.15857,1.15606,1.15705,5572,7,0
2021-10-08 16:00:00+00:00,1.15707,1.15785,1.15551,1.15637,5248,7,0
2021-10-08 17:00:00+00:00,1.15637,1.15764,1.1562999999999999,1.15731,4055,7,0
2021-10-08 18:00:00+00:00,1.15731,1.15793,1.15687,1.15717,2796,7,0
2021-10-08 19:00:00+00:00,1.1571799999999999,1.1571799999999999,1.15606,1.1564,1494,7,0
2021-10-08 20:00:00+00:00,1.1564,1.1568100000000001,1.15594,1.15677,1247,7,0
2021-10-08 21:00:00+00:00,1.15677,1.15779,1.15674,1.15768,1175,7,0
2021-10-08 22:00:00+00:00,1.15769,1.15775,1.15679,1.1571,627,7,0
2021-10-08 23:00:00+00:00,1.1571,1.15751,1.1569099999999999,1.15724,698,7,0
2021-10-11 00:00:00+00:00,1.15677,1.15704,1.15674,1.15701,355,36,0
2021-10-11 01:00:00+00:00,1.15699,1.15761,1.15686,1.1569099999999999,659,7,0
2021-10-11 02:00:00+00:00,1.15693,1.15697,1.15635,1.1565,465,7,0
2021-10-11 03:00:00+00:00,1.1565,1.1577600000000001,1.15647,1.15743,1196,7,0
2021-10-11 04:00:00+00:00,1.15743,1.15791,1.15723,1.15737,1306,7,0
