time,open,high,low,close,tick_volume,spread,real_volume
2021-10-07 00:00:00+00:00,111.382,111.422,111.366,111.415,806,13,0
2021-10-07 01:00:00+00:00,111.415,111.438,111.411,111.431,720,9,0
2021-10-07 02:00:00+00:00,111.431,111.436,111.372,111.406,991,9,0
2021-10-07 03:00:00+00:00,111.404,111.437,111.309,111.378,3163,9,0
2021-10-07 04:00:00+00:00,111.378,111.466,111.362,111.465,2286,9,0
2021-10-07 05:00:00+00:00,111.465,111.503,111.463,111.481,1414,9,0
2021-10-07 06:00:00+00:00,111.481,111.482,111.415,111.421,1342,9,0
2021-10-07 07:00:00+00:00,111.421,111.436,111.389,111.412,714,9,0
2021-10-07 08:00:00+00:00,111.412,111.481,111.392,111.477,1621,9,0
2021-10-07 09:00:00+00:00,111.477,111.509,111.34,111.352,2570,9,0
2021-10-07 10:00:00+00:00,111.352,111.421,111.226,111.289,3252,9,0
2021-10-07 11:00:00+00:00,111.29,111.436,111.266,111.413,2559,9,0
2021-10-07 12:00:00+00:00,111.412,111.526,111.409,111.46,2707,9,0
2021-10-07 13:00:00+00:00,111.462,111.479,111.392,111.394,1391,9,0
2021-10-07 14:00:00+00:00,111.395,111.405,111.28,111.347,2149,9,0
2021-10-07 15:00:00+00:00,111.347,111.466,111.314,111.449,2877,9,0
2021-10-07 16:00:00+00:00,111.449,111.549,111.412,111.437,3873,9,0
2021-10-07 17:00:00+00:00,111.439,111.537,111.38,111.517,3159,9,0
2021-10-07 18:00:00+00:00,111.518,111.523,111.442,111.496,1857,9,0
2021-10-07 19:00:00+00:00,111.496,111.621,111.478,111.621,846,9,0
2021-10-07 20:00:00+00:00,111.621,111.626,111.558,111.592,857,9,0
2021-10-07 21:00:00+00:00,111.593,111.638,111.591,111.619,1117,9,0
2021-10-07 22:00:00+00:00,111.62,111.632,111.59,111.591,916,9,0
2021-10-07 23:00:00+00:00,111.593,111.647,111.591,111.615,567,9,0
2021-10-08 00:00:00+00:00,111.598,111.623,111.56,111.607,1022,13,0
2021-10-08 01:00:00+00:00,111.607,111.66,111.607,111.657,774,9,0
2021-10-08 02:00:00+00:00,111.657,111.672,111.633,111.66,760,9,0
2021-10-08 03:00:00+00:00,111.659,111.755,111.653,111.714,1918,9,0
2021-10-08 04:00:00+00:00,111.714,111.871,111.711,111.844,2470,9,0
2021-10-08 05:00:00+00:00,111.844,111.89,111.817,111.826,1749,9,0
2021-10-08 06:00:00+00:00,111.826,111.871,111.804,111.834,1129,9,0
2021-10-08 07:00:00+00:00,111.834,111.924,111.832,111.922,1022,9,0
2021-10-08 08:00:00+00:00,111.922,111.926,111.877,111.914,1659,9,0
2021-10-08 09:00:00+00:00,111.915,111.935,111.86,111.898,2024,9,0
2021-10-08 10:00:00+00:00,111.9,111.989,111.883,111.952,3379,9,0
2021-10-08 11:00:00+00:00,111.952,111.995,111.931,111.955,2412,9,0
2021-10-08 12:00:00+00:00,111.955,111.956,111.826,111.865,1985,9,0
2021-10-08 13:00:00+00:00,111.865,111.889,111.79,111.796,1594,9,0
2021-10-08 14:00:00+00:00,111.796,111.818,111.693,111.745,2101,9,0
2021-10-08 15:00:00+00:00,111.745,111.852,111.507,111.591,6699,9,0
2021-10-08 16:00:00+00:00,111.591,111.95,111.547,111.852,6226,9,0
2021-10-08 17:00:00+00:00,111.852,112.04,111.829,112.032,4889,9,0
2021-10-08 18:00:00+00:00,112.033,112.174,111.978,112.152,3139,9,0
2021-10-08 19:00:00+00:00,112.151,112.209,112.13,112.193,1734,9,0
2021-10-08 20:00:00+00:00,112.194,112.244,112.162,112.17,1210,9,0
2021-10-08 21:00:00+00:00,112.17,112.198,112.133,112.191,1024,9,0
2021-10-08 22:00:00+00:00,112.191,112.242,112.182,112.208,799,9,0
2021-10-08 23:00:00+00:00,112.208,112.251,112.2,112.221,779,9,0
2021-10-11 00:00:00+00:00,112.166,112.246,112.148,112.241,337,9,0
2021-10-11 01:00:00+00:00,112.241,112.324,112.223,112.268,814,9,0
2021-10-11 02:00:00+00:00,112.269,112.307,112.239,112.27,896,9,0
2021-10-11 03:00:00+00:00,112.27,112.302,112.172,112.297,1801,9,0
2021-10-11 04:00:00+00:00,112.297,112.409,112.292,112.366,2409,9,0
2021-10-11 05:00:00+00:00,112.367,112.551,112.366,112.534,1487,9,0
2021-10-11 06:00:00+00:00,112.533,112.72,112.524,112.689,1981,9,0
2021-10-11 07:00:00+00:00,112.689,112.717,112.614,112.675,1259,9,0
2021-10-11 08:00:00+00:00,112.675,112.746,112.64,112.726,1464,9,0
2021-10-11 09:00:00+00:00,112.726,112.737,112.637,112.703,2237,9,0
2021-10-11 10:00:00+00:00,112.704,112.841,112.665,112.788,2811,9,0
2021-10-11 11:00:00+00:00,112.787,112.949,112.786,112.909,2361,9,0
2021-10-11 12:00:00+00:00,112.908,113.032,112.9,112.96,1810,9,0
2021-10-11 13:00:00+00:00,112.96,112.983,112.87,112.925,1520,9,0
2021-10-11 14:00:00+00:00,112.925,112.96,112.868,112.927,1381,9,0
2021-10-11 15:00:00+00:00,112.927,113.237,112.883,113.187,2947,9,0
2021-10-11 16:00:00+00:00,113.187,113.188,113.046,113.097,3009,9,0
2021-10-11 17:00:00+00:00,113.096,113.338,113.095,113.287,2661,9,0
2021-10-11 18:00:00+00:00,113.291,113.374,113.226,113.362,1343,9,0
2021-10-11 19:00:00+00:00,113.362,113.408,113.346,113.403,1176,9,0
2021-10-11 20:00:00+00:00,113.403,113.403,113.273,113.315,1333,9,0
2021-10-11 21:00:00+00:00,113.315,113.336,113.287,113.335,943,9,0
2021-10-11 22:00:00+00:00,113.334,113.368,113.321,113.362,791,9,0
2021-10-11 23:00:00+00:00,113.362,113.396,113.283,113.325,797,9,0
2021-10-12 00:00:00+00:00,113.303,113.329,113.094,113.308,2255,27,0
2021-10-12 01:00:00+00:00,113.308,113.409,113.308,113.387,1897,9,0
2021-10-12 02:00:00+00:00,113.387,113.394,113.324,113.386,997,9,0
2021-10-12 03:00:00+00:00,113.386,113.482,113.358,113.447,3324,9,0
2021-10-12 04:00:00+00:00,113.447,113.483,113.304,113.348,2843,9,0
2021-10-12 05:00:00+00:00,113.35,113.388,113.243,113.264,2238,9,0
2021-10-12 06:00:00+00:00,113.264,113.302,113.205,113.29,1461,9,0
2021-10-12 07:00:00+00:00,113.29,113.345,113.274,113.336,1112,9,0
2021-10-12 08:00:00+00:00,113.336,113.34,113.237,113.308,1672,9,0
2021-10-12 09:00:00+00:00,113.308,113.313,112.999,113.068,3753,9,0
2021-10-12 10:00:00+00:00,113.069,113.301,113.046,113.29,4207,9,0
2021-10-12 11:00:00+00:00,113.29,113.423,113.26,113.371,3030,9,0
2021-10-12 12:00:00+00:00,113.371,113.425,113.23,113.271,2337,9,0
2021-10-12 13:00:00+00:00,113.272,113.362,113.265,113.355,1914,9,0
2021-10-12 14:00:00+00:00,113.354,113.4,113.262,113.391,2044,9,0
2021-10-12 15:00:00+00:00,113.391,113.784,113.352,113.659,4200,9,0
2021-10-12 16:00:00+00:00,113.659,113.722,113.46,113.496,6127,9,0
2021-10-12 17:00:00+00:00,113.493,113.708,113.449,113.61,5305,9,0
2021-10-12 18:00:00+00:00,113.611,113.722,113.579,113.685,2893,9,0
2021-10-12 19:00:00+00:00,113.685,113.698,113.565,113.636,1658,9,0
2021-10-12 20:00:00+00:00,113.636,113.681,113.596,113.636,1474,9,0
2021-10-12 21:00:00+00:00,113.636,113.665,113.587,113.661,1191,9,0
2021-10-12 22:00:00+00:00,113.661,113.664,113.557,113.59,1078,9,0
2021-10-12 23:00:00+00:00,113.591,113.642,113.591,113.605,890,9,0
2021-10-13 00:00:00+00:00,113.572,113.608,113.55,113.601,1603,10,0
2021-10-13 01:00:00+00:00,113.604,113.61,113.563,113.573,551,9,0
2021-10-13 02:00:00+00:00,113.573,113.576,113.509,113.534,940,9,0
2021-10-13 03:00:00+00:00,113.535,113.585,113.436,113.436,2991,9,0
2021-10-13 04:00:00+00:00,113.436,113.452,113.38,113.396,2205,9,0
2021-10-13 05:00:00+00:00,113.396,113.451,113.346,113.395,1717,9,0
2021-10-13 06:00:00+00:00,113.396,113.49,113.394,113.459,1191,9,0
2021-10-13 07:00:00+00:00,113.459,113.478,113.439,113.462,836,9,0
2021-10-13 08:00:00+00:00,113.462,113.534,113.454,113.467,1243,9,0
2021-10-13 09:00:00+00:00,113.47,113.512,113.399,113.506,2082,9,0
2021-10-13 10:00:00+00:00,113.506,113.605,113.5,113.57,2893,9,0
2021-10-13 11:00:00+00:00,113.571,113.583,113.479,113.552,2422,9,0
2021-10-13 12:00:00+00:00,113.552,113.59,113.524,113.575,2242,9,0
2021-10-13 13:00:00+00:00,113.576,113.607,113.525,113.54,1595,9,0
2021-10-13 14:00:00+00:00,113.54,113.608,113.502,113.541,1717,9,0
2021-10-13 15:00:00+00:00,113.541,113.799,113.515,113.657,5061,9,0
2021-10-13 16:00:00+00:00,113.658,113.717,113.34,113.421,6316,9,0
2021-10-13 17:00:00+00:00,113.421,113.478,113.223,113.343,4937,9,0
2021-10-13 18:00:00+00:00,113.339,113.489,113.336,113.484,2992,9,0
2021-10-13 19:00:00+00:00,113.484,113.498,113.383,113.447,1802,9,0
2021-10-13 20:00:00+00:00,113.447,113.447,113.32,113.372,1913,9,0
2021-10-13 21:00:00+00:00,113.372,113.485,113.35,113.35,2224,9,0
2021-10-13 22:00:00+00:00,113.348,113.359,113.241,113.259,1396,9,0
2021-10-13 23:00:00+00:00,113.261,113.315,113.244,113.246,1411,9,0
2021-10-14 00:00:00+00:00,113.225,113.271,113.205,113.244,1076,9,0
2021-10-14 01:00:00+00:00,113.244,113.25,113.207,113.236,495,9,0
2021-10-14 02:00:00+00:00,113.236,113.307,113.236,113.305,789,9,0
2021-10-14 03:00:00+00:00,113.305,113.387,113.273,113.365,1785,9,0
2021-10-14 04:00:00+00:00,113.364,113.54,113.358,113.53,1742,9,0
2021-10-14 05:00:00+00:00,113.53,113.531,113.474,113.483,1203,9,0
